id,name,description,card_type,card_data,field_notes,is_builtin,created_at
11,TOXIC + FIRST_STRIKE (enkel removal),TOXIC dödar allt den skadar. FIRST_STRIKE slår innan motståndaren. Dödlig kombination.,minion,"{""mana"":4,""attack"":1,""health"":3,""rarity"":""rare"",""subtype"":""Demon"",""keywords"":""FIRST_STRIKE, TOXIC"",""card_class"":""Dark"",""description"":""First Strike. Toxic.""}","{""mana"":""4 mana för dessa keywords är rätt balanserat — effekterna är starka."",""attack"":""1 attack räcker med TOXIC — varje poäng skada dödar. Håll attack låg och kompensera med health."",""health"":""3 health = överlever de flesta 2-mana-minions utan TOXIC/FIRST_STRIKE."",""keywords"":""FIRST_STRIKE + TOXIC = slår sin 1-skada INNAN motståndaren och dödar den direkt oavsett health. Extremt effektiv removal.""}",true,2026-04-20 15:38:46.852159+00
12,CANT_ATTACK + hög health (Pure Tank),Kan aldrig anfalla men absorberar enormt mycket skada. Köper tid för din strategi.,minion,"{""mana"":2,""attack"":0,""health"":8,""rarity"":""common"",""subtype"":"""",""keywords"":""CANT_ATTACK"",""card_class"":""Forest"",""description"":""Can't Attack.""}","{""attack"":""0 attack = meningslöst att anfalla med. Håll alltid på 0 för CANT_ATTACK-minions."",""health"":""8 health för 2 mana är extremt. Balansen = noll offensiv kraft. Bra för time-stalling."",""keywords"":""CANT_ATTACK = minionen kan ALDRIG deklarera attacker. Kan fortfarande blockera och använda activate-förmågor.""}",true,2026-04-20 15:38:46.852159+00
13,Enkel skadespell — 3 skada,Grundläggande skadespell. Spelaren väljer målet. Kan träffa minion eller hjälte.,spell,"{""mana"":2,""rarity"":""common"",""school"":""Shadow"",""effect_id"":""deal_damage"",""card_class"":""Dark"",""description"":""Deal 3 damage to any target."",""repeat_mode"":""same_target"",""target_mode"":""any_target"",""effect_value"":3,""repeat_count"":1,""targeting_mode"":""explicit""}","{""school"":""Shadow = magiskola för flavortext. Påverkar inte gameplay direkt."",""effect_id"":""deal_damage = gör X skada."",""target_mode"":""any_target = spelaren väljer minion eller hjälte fritt. Mest flexibelt."",""effect_value"":""3 = mängden skada. Tumregel: 3 för 2 mana, 4–5 för 3 mana, 6–7 för 4 mana."",""repeat_count"":""1 = träffar en gång. Öka för multi-hit (kombinera med repeat_mode)."",""targeting_mode"":""explicit = spelaren klickar på målet. Alltid explicit när spelaren ska välja.""}",true,2026-04-20 15:38:46.852159+00
14,Riktat mot minion — inte hjälte,Removal-spell som bara kan träffa minions. Bra för board clear utan face-skada.,spell,"{""mana"":2,""rarity"":""common"",""school"":""Nature"",""effect_id"":""deal_damage"",""card_class"":""Forest"",""description"":""Deal 4 damage to a minion."",""repeat_mode"":""same_target"",""target_mode"":""target_minion"",""effect_value"":4,""repeat_count"":1,""targeting_mode"":""explicit""}","{""target_mode"":""target_minion = kan bara träffa minions (vän eller fiende), INTE hjältar. Bra removal."",""effect_value"":""4 skada för 2 mana när det bara kan träffa minions — mer värde per mana."",""targeting_mode"":""explicit = spelaren klickar på vilken minion de vill ta bort.""}",true,2026-04-20 15:38:46.852159+00
15,Slumpmässig fiendes minion,Träffar en slumpmässig fiendes minion automatiskt. Spelaren väljer inget mål.,spell,"{""mana"":1,""rarity"":""common"",""school"":""Dark"",""effect_id"":""deal_damage"",""card_class"":""Wasteland"",""description"":""Deal 2 damage to a random enemy minion."",""repeat_mode"":""same_target"",""target_mode"":""enemy_minion"",""effect_value"":2,""repeat_count"":1,""targeting_mode"":""random""}","{""mana"":""1 mana för 2 slumpmässig skada = hög effektivitet men osäkert mål."",""target_mode"":""enemy_minion = slumpar BARA bland fiendens minions. Hjälten är aldrig mål."",""targeting_mode"":""random = servern slumpar ett mål automatiskt. Spelaren klickar ingenting.""}",true,2026-04-20 15:38:46.852159+00
16,AOE-spell — träffar 4 minions,Gör 1 skada mot 4 slumpmässiga fiendes minions (kan träffa samma igen). Bra mot wide boards.,spell,"{""mana"":3,""rarity"":""uncommon"",""school"":""Storm"",""effect_id"":""deal_damage"",""card_class"":""The Blue"",""description"":""Deal 1 damage to 4 random enemy minions."",""repeat_mode"":""reroll_each_time"",""target_mode"":""enemy_minion"",""effect_value"":1,""repeat_count"":4,""targeting_mode"":""random""}","{""repeat_mode"":""reroll_each_time = nytt slumpmål för varje träff. En minion kan träffas flera gånger om det inte finns 4 stycken."",""effect_value"":""1 per träff. Dödar tokens och svaga minions. Öka för hårdare AOE (och höj mana)."",""repeat_count"":""4 = träffar 4 gånger. Totalt 4 skada fördelat på 1–4 minions."",""targeting_mode"":""random + reroll = klassisk AOE-spell. Ingen spelarkontroll på fördelning.""}",true,2026-04-20 15:38:46.852159+00
17,Kedjebolt — studsar 2 gånger (Chain Lightning),Spelaren väljer originalmålet. Blixtbulten studsar sedan till 2 slumpmässiga extra mål.,spell,"{""mana"":3,""rarity"":""rare"",""school"":""Storm"",""effect_id"":""chain"",""card_class"":""The Blue"",""description"":""Deal 2 damage. Bounces to 2 additional random targets."",""repeat_mode"":""reroll_each_time"",""target_mode"":""any_target"",""effect_value"":2,""repeat_count"":2,""targeting_mode"":""explicit""}","{""effect_id"":""chain = effekten studsar till extra mål efter originalet."",""repeat_mode"":""reroll_each_time = nytt slumpmål per studs. Kan träffa vänner eller fiender beroende på target_mode."",""effect_value"":""2 per träff inklusive studsar."",""repeat_count"":""2 = studsar till 2 EXTRA mål. Totalt 3 träffar (1 original + 2 studsar)."",""targeting_mode"":""explicit = spelaren väljer originalmålet. Studsarna är alltid slumpmässiga.""}",true,2026-04-20 15:38:46.852159+00
18,Läkespell — återställ 5 HP,Läker ägarens hjälte för 5 HP. Enkel och pålitlig defensiv stavning.,spell,"{""mana"":2,""rarity"":""common"",""school"":""Blood"",""effect_id"":""heal"",""card_class"":""Forest"",""description"":""Restore 5 health to your hero."",""repeat_mode"":""same_target"",""target_mode"":""friendly_hero"",""effect_value"":5,""repeat_count"":1,""targeting_mode"":""auto""}","{""effect_id"":""heal = återställer X HP till målet."",""target_mode"":""friendly_hero = läker bara din hjälte. Fienden kan inte väljas."",""effect_value"":""5 = mängden HP som läks. Mer än kortets manakostnad = bra deal."",""targeting_mode"":""auto = ingen dialog visas. Läker direkt vid cast.""}",true,2026-04-20 15:38:46.852159+00
19,Läkespell — valfritt mål,Läker valfri minion eller hjälte. Spelaren väljer vad som ska läkas.,spell,"{""mana"":2,""rarity"":""common"",""school"":""Nature"",""effect_id"":""heal"",""card_class"":""Forest"",""description"":""Restore 4 health to any target."",""repeat_mode"":""same_target"",""target_mode"":""any_target"",""effect_value"":4,""repeat_count"":1,""targeting_mode"":""explicit""}","{""target_mode"":""any_target = spelaren väljer vad som läks — hjälte, vänlig minion eller fiendens minion."",""effect_value"":""4 = lagom för att hålla en tuff minion i livet."",""targeting_mode"":""explicit = spelaren klickar på målet.""}",true,2026-04-20 15:38:46.852159+00
20,Kortdragning — dra 2 kort,Drar 2 kort direkt utan målval. Enkel och stark kortdragning.,spell,"{""mana"":3,""rarity"":""uncommon"",""school"":""Void"",""effect_id"":""draw_card"",""card_class"":""The Blue"",""description"":""Draw 2 cards."",""repeat_mode"":""same_target"",""target_mode"":""self"",""effect_value"":2,""repeat_count"":1,""targeting_mode"":""auto""}","{""school"":""Void = tematisk skola för mystisk/mörk magi."",""effect_id"":""draw_card = drar X kort till ägarens hand."",""target_mode"":""self = \""målet\"" är spelaren själv. Inget val visas."",""effect_value"":""2 = dra 2 kort. Standard draw-spell."",""targeting_mode"":""auto = drar direkt utan klick.""}",true,2026-04-20 15:38:46.852159+00
21,INSTANT-spell — spelas som reaktion,Kan spelas under blockfönstret (fiendens tur). Bra motåtgärd mot aggro.,spell,"{""mana"":1,""rarity"":""uncommon"",""school"":""Storm"",""keywords"":""INSTANT"",""effect_id"":""deal_damage"",""card_class"":""The Blue"",""description"":""Instant. Deal 2 damage to any target."",""repeat_mode"":""same_target"",""target_mode"":""any_target"",""effect_value"":2,""repeat_count"":1,""targeting_mode"":""explicit""}","{""mana"":""1 mana INSTANT är mycket starkt — kan döda en anfallande minion mitt i en attack."",""keywords"":""INSTANT = kan spelas UTANFÖR din tur, under blockfönstret. Enda keyword som gäller stavningar."",""effect_value"":""2 skada för 1 mana är rättvist som INSTANT-kostnad.""}",true,2026-04-20 15:38:46.852159+00
22,Torn — skjuter varje tur (Tower),Skjuter automatiskt 1 skada mot fiendens hjälte i slutet av varje dragskede. Klassiskt torn.,structure,"{""mana"":3,""armor"":5,""rarity"":""uncommon"",""s_subtype"":""Tower"",""card_class"":""Dark"",""trigger_id"":""deal_damage"",""description"":""At the start of your turn: deal 1 damage to the enemy hero."",""repair_cost"":1,""repair_value"":2,""trigger_value"":1,""maintenance_cost"":1,""trigger_target_mode"":""enemy_hero""}","{""armor"":""5 armor = strukturens HP. Fienden måste lägga ned 5 skada för att förstöra tornet."",""s_subtype"":""Tower = undertypens namn. Visas som \""Structure — Tower\"" på kortet."",""trigger_id"":""deal_damage = triggar automatiskt och gör X skada."",""repair_cost"":""1 mana för att reparera manuellt."",""repair_value"":""2 armor återfås per reparation."",""trigger_value"":""1 = 1 skada per tur. Staplar upp — om fienden inte tar bort tornet förlorar de HP kontinuerligt."",""maintenance_cost"":""1 = betala 1 mana per tur för att hålla tornet aktivt. 0 = gratis."",""trigger_target_mode"":""enemy_hero = tornet skjuter direkt på fiendens hjälte varje tur.""}",true,2026-04-20 15:38:46.852159+00
23,Verkstad med Activate (Workshop),Kan aktiveras för att dra ett kort. Ger kontinuerlig kortdragning om den överlever.,structure,"{""mana"":4,""armor"":6,""rarity"":""rare"",""s_subtype"":""Workshop"",""card_class"":""The Blue"",""description"":""Activate (2): Draw a card."",""repair_cost"":2,""repair_value"":3,""s_ability_id"":""draw_card"",""s_ability_cost"":2,""s_ability_value"":1,""maintenance_cost"":2,""s_ability_target_mode"":""self"",""s_ability_targeting_mode"":""auto""}","{""armor"":""6 armor = robust. Svår att ta bort snabbt."",""repair_cost"":""2 mana för reparation."",""repair_value"":""3 armor per reparation."",""s_ability_id"":""draw_card = drar kort. Fälten för strukturens förmåga börjar med s_ för att skilja från trigger."",""s_ability_cost"":""2 = kosta 2 mana ATT AKTIVERA (utöver maintenance). Totalkostnad per tur: 2 maintenance + 2 activate = 4."",""maintenance_cost"":""2 = betala 2 mana per tur. Dyr underhållskostnad men stark effekt."",""s_ability_target_mode"":""self = drar till ägaren. Inget mål väljs."",""s_ability_targeting_mode"":""auto = inget klick. Drar direkt.""}",true,2026-04-20 15:38:46.852159+00
24,Totem — läker slumpmässig vänlig minion,Passiv trigger som läker en slumpmässig vänlig minion i slutet av varje tur.,structure,"{""mana"":3,""armor"":4,""rarity"":""uncommon"",""s_subtype"":""Totem"",""card_class"":""Forest"",""trigger_id"":""heal"",""description"":""At end of turn: restore 1 health to a random friendly minion."",""repair_cost"":2,""repair_value"":2,""trigger_value"":1,""maintenance_cost"":0,""trigger_target_mode"":""friendly_minion""}","{""s_subtype"":""Totem = undertypens namn."",""trigger_id"":""heal = läker ett mål varje gång triggern utlöses."",""trigger_value"":""1 HP per tur. Litet men konstant — håller minions vid liv längre."",""maintenance_cost"":""0 = gratis att hålla aktiv. Inget att betala per tur."",""trigger_target_mode"":""friendly_minion = läker en av dina egna minions, slumpmässigt vald.""}",true,2026-04-20 15:38:46.852159+00
25,Fortification — skada mot fiendes minions,Trigger som gör 1 slumpmässig skada mot fiendes minions varje tur. Board control utan attack.,structure,"{""mana"":4,""armor"":5,""rarity"":""rare"",""s_subtype"":""Fortification"",""card_class"":""Wasteland"",""trigger_id"":""deal_damage"",""description"":""At end of turn: deal 1 damage to a random enemy minion."",""repair_cost"":2,""repair_value"":2,""trigger_value"":1,""maintenance_cost"":1,""trigger_target_mode"":""enemy_minion""}","{""trigger_value"":""1 skada per tur. Dödar svaga tokens och pressar fienden att ta bort strukturen."",""maintenance_cost"":""1 mana per tur. Bör placeras tidigt så den ger värde under många turer."",""trigger_target_mode"":""enemy_minion = skjuter mot fiendens minions, INTE hjälten. Jämför med Tower som skjuter mot enemy_hero.""}",true,2026-04-20 15:38:46.852159+00
26,Goblin Starter,Vanlig Start på Goblin korten,minion,{},{},false,2026-04-22 08:15:38.930774+00
